S;BKE022508SES00000002;BKE022508INV00000004;118000;BKE02;0;0;1;23HT20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;119000;BKE02;0;0;1;26ASSIN10X20X40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;120000;BKE02;0;0;1;26CH40X50X202/6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;121000;BKE02;0;0;1;26CH40X50X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;122000;BKE02;0;0;1;26CH40X50X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;123000;BKE02;0;0;1;26CL30X30X15T1GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;124000;BKE02;0;0;1;26CL30X30X15T2GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;125000;BKE02;0;0;1;26CL30X30X15T3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;126000;BKE02;0;0;1;26CL58X30X16NZIGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;127000;BKE02;0;0;1;26LZ15X15X15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;128000;BKE02;0;0;1;26LZ15X15X15GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;129000;BKE02;0;0;1;26LZ15X20X50GAM;;A;UN;265;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;130000;BKE02;0;0;1;26LZ20X20X20GAM;;A;UN;216;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;131000;BKE02;0;0;1;26LZ20X20X25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;132000;BKE02;0;0;1;26LZ20X20X40GAM;;A;UN;471;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;133000;BKE02;0;0;1;26LZ20X20X50GAM;;A;UN;435;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;134000;BKE02;0;0;1;26LZ25X25X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000002;BKE022508INV00000004;135000;BKE02;0;0;1;26LZ25X25X25GAM;;A;UN;0;BKE2;
